qid,display_index,page,set_id,cooldown_block,condition,condition_label,expected_accent,source_index,audio,audio_filename,selected_source_path,selected_item_id,selected_method,selected_direction,selected_source_accent,selected_target_accent,selected_source_speaker_id,selected_utterance_id,selected_target_ref_id,selected_phonos_run,selected_accent_pred_label,selected_expected_tgt_label,selected_recall_tgt_hit,selected_nisqa_mos
Q001,1,1,1,1,seedvc_bri2ame,SeedVC converted: British to American,American,1,audio/Q001__seedvc_bri2ame__src01.wav,Q001__seedvc_bri2ame__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/SLT/f_05223/sof_05223_01829932752.wav,seedvc::bri2ame::SLT::f_05223::sof_05223_01829932752,seedvc,bri2ame,bri,ame,f_05223,sof_05223_01829932752,SLT,,,,,
Q002,2,1,1,1,phonos_bri2ame,PHONOS converted: British to American,American,1,audio/Q002__phonos_bri2ame__src01.wav,Q002__phonos_bri2ame__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full_r1/bri2ame/SLT/f_02121/sof_02121_01900860283.wav,phonos::bri2ame::SLT::sof_02121_01900860283,PHONOS,bri2ame,british,american,f_02121,sof_02121_01900860283,SLT,full_r1,north_american,north_american,1,4.8658333
Q003,3,1,1,1,gt_american,Original American samples,American,1,audio/Q003__gt_american__src01.wav,Q003__gt_american__src01.wav,/data/waris/code/PHONOSv2/evaluation/final/american/5536/wav/5536-43363-0013.wav,gt::american::5536-43363-0013,original,reference,american,american,5536,5536-43363-0013,,,,,,
Q004,4,1,1,1,gt_american,Original American samples,American,2,audio/Q004__gt_american__src02.wav,Q004__gt_american__src02.wav,/data/waris/code/PHONOSv2/evaluation/final/american/4992/wav/4992-41806-0004.wav,gt::american::4992-41806-0004,original,reference,american,american,4992,4992-41806-0004,,,,,,
Q005,5,1,1,1,gt_american,Original American samples,American,3,audio/Q005__gt_american__src03.wav,Q005__gt_american__src03.wav,/data/waris/code/PHONOSv2/evaluation/final/american/2035/wav/2035-152373-0005.wav,gt::american::2035-152373-0005,original,reference,american,american,2035,2035-152373-0005,,,,,,
Q006,6,2,2,1,seedvc_ame2bri,SeedVC converted: American to British,British,1,audio/Q006__seedvc_ame2bri__src01.wav,Q006__seedvc_ame2bri__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/british1/4992/4992-41806-0012.wav,seedvc::ame2bri::british1::4992::4992-41806-0012,seedvc,ame2bri,ame,bri,4992,4992-41806-0012,british1,,,,,
Q007,7,2,2,1,seedvc_bri2ame,SeedVC converted: British to American,American,2,audio/Q007__seedvc_bri2ame__src02.wav,Q007__seedvc_bri2ame__src02.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/RMS/f_07505/sof_07505_02083827740.wav,seedvc::bri2ame::RMS::f_07505::sof_07505_02083827740,seedvc,bri2ame,bri,ame,f_07505,sof_07505_02083827740,RMS,,,,,
Q008,8,2,2,1,seedvc_ame2bri,SeedVC converted: American to British,British,2,audio/Q008__seedvc_ame2bri__src02.wav,Q008__seedvc_ame2bri__src02.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_03397/3081/3081-166546-0000.wav,seedvc::ame2bri::slr83_southern_female_sof_03397::3081::3081-166546-0000,seedvc,ame2bri,ame,bri,3081,3081-166546-0000,slr83_southern_female_sof_03397,,,,,
Q009,9,2,2,1,seedvc_bri2ame,SeedVC converted: British to American,American,3,audio/Q009__seedvc_bri2ame__src03.wav,Q009__seedvc_bri2ame__src03.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/SLT/m_06592/som_06592_00860315861.wav,seedvc::bri2ame::SLT::m_06592::som_06592_00860315861,seedvc,bri2ame,bri,ame,m_06592,som_06592_00860315861,SLT,,,,,
Q010,10,2,2,1,seedvc_bri2ame,SeedVC converted: British to American,American,4,audio/Q010__seedvc_bri2ame__src04.wav,Q010__seedvc_bri2ame__src04.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/BDL/m_00712/som_00712_01728405553.wav,seedvc::bri2ame::BDL::m_00712::som_00712_01728405553,seedvc,bri2ame,bri,ame,m_00712,som_00712_01728405553,BDL,,,,,
