qid,display_index,page,set_id,cooldown_block,condition,condition_label,expected_accent,source_index,audio,audio_filename
Q001,1,1,1,1,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,2,audio/Q001__phonos_ame2spn__src02__placeholder.wav,Q001__phonos_ame2spn__src02__placeholder.wav
Q002,2,1,1,1,gt_american,Original American samples,American,2,audio/Q002__gt_american__src02__placeholder.wav,Q002__gt_american__src02__placeholder.wav
Q003,3,1,1,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,10,audio/Q003__phonos_spn2ame__src10__placeholder.wav,Q003__phonos_spn2ame__src10__placeholder.wav
Q004,4,1,1,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,9,audio/Q004__phonos_spn2ame__src09__placeholder.wav,Q004__phonos_spn2ame__src09__placeholder.wav
Q005,5,1,1,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,5,audio/Q005__phonos_spn2ame__src05__placeholder.wav,Q005__phonos_spn2ame__src05__placeholder.wav
Q006,6,2,2,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,8,audio/Q006__phonos_spn2ame__src08__placeholder.wav,Q006__phonos_spn2ame__src08__placeholder.wav
Q007,7,2,2,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,3,audio/Q007__phonos_spn2ame__src03__placeholder.wav,Q007__phonos_spn2ame__src03__placeholder.wav
Q008,8,2,2,1,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,9,audio/Q008__phonos_ame2spn__src09__placeholder.wav,Q008__phonos_ame2spn__src09__placeholder.wav
Q009,9,2,2,1,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,4,audio/Q009__phonos_ame2spn__src04__placeholder.wav,Q009__phonos_ame2spn__src04__placeholder.wav
Q010,10,2,2,1,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,5,audio/Q010__seedvc_ame2spn__src05__placeholder.wav,Q010__seedvc_ame2spn__src05__placeholder.wav
Q011,11,3,3,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,6,audio/Q011__phonos_spn2ame__src06__placeholder.wav,Q011__phonos_spn2ame__src06__placeholder.wav
Q012,12,3,3,1,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,6,audio/Q012__seedvc_ame2spn__src06__placeholder.wav,Q012__seedvc_ame2spn__src06__placeholder.wav
Q013,13,3,3,1,gt_american,Original American samples,American,9,audio/Q013__gt_american__src09__placeholder.wav,Q013__gt_american__src09__placeholder.wav
Q014,14,3,3,1,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,3,audio/Q014__phonos_ame2spn__src03__placeholder.wav,Q014__phonos_ame2spn__src03__placeholder.wav
Q015,15,3,3,1,gt_american,Original American samples,American,10,audio/Q015__gt_american__src10__placeholder.wav,Q015__gt_american__src10__placeholder.wav
