sample_group_id,sample_id,direction,direction_display,condition,condition_display,expected_accent,audio,audio_url,duration_sec,sample_rate_hz,channels,sha256,source_id,utterance_id
ame2bri_S01,S01,ame2bri,American to British,original,Original,american,audio/ame2bri/S01__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S01__original.wav,5.695,16000,1,eb6831413282d3c2c4f50ae84833715e4cfc26032fd81ebd00688191958ae66a,AME005,7176-88083-0000
ame2bri_S01,S01,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S01__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S01__phonos.wav,5.7,16000,1,3b5337872738e10b211e76b00fcfd7cc41f4bd1432c3fa050adf333362ea9a59,AME005,7176-88083-0000
ame2bri_S01,S01,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S01__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S01__seedvc.wav,5.584399092970521,22050,1,0506968d9efc4f44c01704366b9ca5d42b0f977a262be0c1aeee6c49809ab1f3,AME005,7176-88083-0000
ame2bri_S01,S01,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S01__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S01__tvtsyn_reconstruction.wav,5.7,16000,1,e22e5c9cc8b8a9b917d01bb8a343dfe52c8ae360486d8b42aef7d8db3c878527,AME005,7176-88083-0000
ame2bri_S02,S02,ame2bri,American to British,original,Original,american,audio/ame2bri/S02__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S02__original.wav,7.57,16000,1,3db84d0a4ec5d40045f540776ea190f60b05e6ba6e1e120945855d3f4cd22b3b,AME003,652-130737-0002
ame2bri_S02,S02,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S02__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S02__phonos.wav,7.58,16000,1,36cdc00b9ec456fbecd9a33aecdf52a7e8261b00834ea3a181544c431349ff99,AME003,652-130737-0002
ame2bri_S02,S02,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S02__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S02__seedvc.wav,7.569705215419501,22050,1,d4ddc8e273f105f7586bddb41d6ae7298978f70a9b17e0925de0be00f81aabb4,AME003,652-130737-0002
ame2bri_S02,S02,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S02__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S02__tvtsyn_reconstruction.wav,7.58,16000,1,6355f9f6b30468c508607743a450236dcb6ac0e67513417c3543147c3a9dac97,AME003,652-130737-0002
ame2bri_S03,S03,ame2bri,American to British,original,Original,american,audio/ame2bri/S03__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S03__original.wav,6.585,16000,1,7ba57c7f53560bacc99ae3cf19fcfefac8825f083b68464143a3acd09717fb60,AME008,5694-64029-0007
ame2bri_S03,S03,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S03__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S03__phonos.wav,6.6,16000,1,75df48aa5ceb70abbd56711a0ca69204a1c24aa9ba6202e6d283febce7a43c18,AME008,5694-64029-0007
ame2bri_S03,S03,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S03__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S03__seedvc.wav,6.6525170068027215,22050,1,eefe92d19b38a05d3701cfda119847d40c4ab858a2dea61d306b1cdeda810160,AME008,5694-64029-0007
ame2bri_S03,S03,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S03__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S03__tvtsyn_reconstruction.wav,6.6,16000,1,bdc6567091591ca7e8b4e17896c1880c48b71d217e79f5c72c0452b38d20830f,AME008,5694-64029-0007
ame2bri_S04,S04,ame2bri,American to British,original,Original,american,audio/ame2bri/S04__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S04__original.wav,6.635,16000,1,4a2ddfdfd71a7d3acbb0e520a9d5c6f0f55bc6bff814ffe147ae9175a98fb625,AME009,1272-141231-0026
ame2bri_S04,S04,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S04__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S04__phonos.wav,6.64,16000,1,e673d8ae85af5d4a304f07c5ad2090217c34a6ca051bc197db9cf85f574368eb,AME009,1272-141231-0026
ame2bri_S04,S04,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S04__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S04__seedvc.wav,6.466757369614513,22050,1,44f55a03203cb852def462862f2983792f9f1c43a7b592437e998e754793f4ca,AME009,1272-141231-0026
ame2bri_S04,S04,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S04__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S04__tvtsyn_reconstruction.wav,6.64,16000,1,4abaa31bbaef684e9f4113fd49081b071f6176442261c7d505592f42fc9266d6,AME009,1272-141231-0026
ame2bri_S05,S05,ame2bri,American to British,original,Original,american,audio/ame2bri/S05__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S05__original.wav,8.93,16000,1,bf8183741a4e62deb5888a92dd43e8253ec311d0d1ae61506179988e82ae6a25,AME007,7729-102255-0019
ame2bri_S05,S05,ame2bri,American to British,phonos,PHONOS,british,audio/ame2bri/S05__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S05__phonos.wav,8.94,16000,1,8cbe86d7d489e06a60a3a27d66b8da2bcd5c80359afedc48b31995307455964e,AME007,7729-102255-0019
ame2bri_S05,S05,ame2bri,American to British,seedvc,SeedVC,british,audio/ame2bri/S05__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S05__seedvc.wav,8.544943310657596,22050,1,8ab5568fa4e994e876d3df060f3637abe86e1b91d7789d2d6e55785c2909bd93,AME007,7729-102255-0019
ame2bri_S05,S05,ame2bri,American to British,tvtsyn_reconstruction,TVTSyn Reconstruction,american,audio/ame2bri/S05__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S05__tvtsyn_reconstruction.wav,8.94,16000,1,77cef0925b6a54f838f68e5e0ee0cfa627a6913f264069f54fd9aeb4d235f727,AME007,7729-102255-0019
