study,qid,display_index,page,set_id,cooldown_block,condition,condition_label,expected_accent,source_index,audio,audio_filename,selected_source_path,selected_item_id,selected_method,selected_direction,selected_source_accent,selected_target_accent,selected_source_speaker_id,selected_utterance_id,selected_target_ref_id,selected_phonos_run,selected_accent_pred_label,selected_expected_tgt_label,selected_recall_tgt_hit,selected_nisqa_mos
accent/spanish,Q001,1,1,1,1,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,1,audio/Q001__phonos_ame2spn__src01.wav,Q001__phonos_ame2spn__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2spn/EBVS/7729/7729-102255-0013.wav,phonos::ame2spn::EBVS::7729-102255-0013,PHONOS,ame2spn,american,spanish,7729,7729-102255-0013,EBVS,full,spanish,spanish,1,4.1595545
accent/spanish,Q002,2,1,1,1,gt_american,Original American samples,American,1,audio/Q002__gt_american__src01.wav,Q002__gt_american__src01.wav,/data/waris/code/PHONOSv2/evaluation/final/american/6930/wav/6930-81414-0004.wav,gt::american::6930-81414-0004,original,reference,american,american,6930,6930-81414-0004,,,,,,
accent/spanish,Q003,3,1,1,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,1,audio/Q003__phonos_spn2ame__src01.wav,Q003__phonos_spn2ame__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full_r1/spn2ame/SLT/EN_poy7OkqGBG0_SPEAKER_01/EN_poy7OkqGBG0_W000151_0000.wav,phonos::spn2ame::SLT::EN_poy7OkqGBG0_W000151_0000,PHONOS,spn2ame,spanish,american,EN_poy7OkqGBG0_SPEAKER_01,EN_poy7OkqGBG0_W000151_0000,SLT,full_r1,north_american,north_american,1,4.870573
accent/spanish,Q004,4,1,1,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,2,audio/Q004__phonos_spn2ame__src02.wav,Q004__phonos_spn2ame__src02.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/spn2ame/SLT/Spanish_G01887/G01887S2360.wav,phonos::spn2ame::SLT::G01887S2360,PHONOS,spn2ame,spanish,american,Spanish_G01887,G01887S2360,SLT,full,north_american,north_american,1,4.8479366
accent/spanish,Q005,5,1,1,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,3,audio/Q005__phonos_spn2ame__src03.wav,Q005__phonos_spn2ame__src03.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full_r1/spn2ame/SLT/EN_PfrKGJNLySY_SPEAKER_00/EN_PfrKGJNLySY_W000008_0001.wav,phonos::spn2ame::SLT::EN_PfrKGJNLySY_W000008_0001,PHONOS,spn2ame,spanish,american,EN_PfrKGJNLySY_SPEAKER_00,EN_PfrKGJNLySY_W000008_0001,SLT,full_r1,north_american,north_american,1,4.8855
accent/spanish,Q006,6,2,2,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,4,audio/Q006__phonos_spn2ame__src04.wav,Q006__phonos_spn2ame__src04.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/spn2ame/SLT/NJS/arctic_a0147.wav,phonos::spn2ame::SLT::arctic_a0147,PHONOS,spn2ame,spanish,american,NJS,arctic_a0147,SLT,full,north_american,north_american,1,4.851739
accent/spanish,Q007,7,2,2,1,phonos_spn2ame,PHONOS converted: Spanish-accented English to American,American,5,audio/Q007__phonos_spn2ame__src05.wav,Q007__phonos_spn2ame__src05.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full_r1/spn2ame/SLT/EN_xq4np5Pf_DU_SPEAKER_00/EN_xq4np5Pf_DU_W000198_0001.wav,phonos::spn2ame::SLT::EN_xq4np5Pf_DU_W000198_0001,PHONOS,spn2ame,spanish,american,EN_xq4np5Pf_DU_SPEAKER_00,EN_xq4np5Pf_DU_W000198_0001,SLT,full_r1,north_american,north_american,1,4.8815093
accent/spanish,Q008,8,2,2,1,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,2,audio/Q008__phonos_ame2spn__src02.wav,Q008__phonos_ame2spn__src02.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2spn/EBVS/5683/5683-32866-0000.wav,phonos::ame2spn::EBVS::5683-32866-0000,PHONOS,ame2spn,american,spanish,5683,5683-32866-0000,EBVS,full,spanish,spanish,1,4.475317
accent/spanish,Q009,9,2,2,1,phonos_ame2spn,PHONOS converted: American to Spanish-accented English,Spanish-accented English,3,audio/Q009__phonos_ame2spn__src03.wav,Q009__phonos_ame2spn__src03.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2spn/EBVS/3000/3000-15664-0004.wav,phonos::ame2spn::EBVS::3000-15664-0004,PHONOS,ame2spn,american,spanish,3000,3000-15664-0004,EBVS,full,spanish,spanish,1,4.46018
accent/spanish,Q010,10,2,2,1,seedvc_ame2spn,SeedVC converted: American to Spanish-accented English,Spanish-accented English,1,audio/Q010__seedvc_ame2spn__src01.wav,Q010__seedvc_ame2spn__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2spn/EBVS/6345/6345-93306-0014.wav,seedvc::ame2spn::EBVS::6345::6345-93306-0014,seedvc,ame2spn,ame,spn,6345,6345-93306-0014,EBVS,,,,,
