study,qid,display_index,page,set_id,cooldown_block,condition,condition_label,expected_accent,source_index,audio,audio_filename,selected_source_path,selected_item_id,selected_method,selected_direction,selected_source_accent,selected_target_accent,selected_source_speaker_id,selected_utterance_id,selected_target_ref_id,selected_phonos_run,selected_accent_pred_label,selected_expected_tgt_label,selected_recall_tgt_hit,selected_nisqa_mos
accent/indian,Q001,1,1,1,1,phonos_ind2ame,PHONOS converted: Indian to American,American,1,audio/Q001__phonos_ind2ame__src01.wav,Q001__phonos_ind2ame__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_003823/00022526_000019.v2.vad.wav,phonos::ind2ame::SLT::00022526_000019.v2.vad,PHONOS,ind2ame,indian,american,S_003823,00022526_000019.v2.vad,SLT,full,north_american,north_american,1,4.8981457
accent/indian,Q002,2,1,1,1,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,1,audio/Q002__seedvc_ame2ind__src01.wav,Q002__seedvc_ame2ind__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/telugufemale/1995/1995-1837-0014.wav,seedvc::ame2ind::telugufemale::1995::1995-1837-0014,seedvc,ame2ind,ame,ind,1995,1995-1837-0014,telugufemale,,,,,
accent/indian,Q003,3,1,1,1,gt_indian,Original Indian samples,Indian,1,audio/Q003__gt_indian__src01.wav,Q003__gt_indian__src01.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_020229/wav/00435815_000027.v2.vad.wav,gt::indian::00435815_000027.v2.vad,original,reference,indian,indian,S_020229,00435815_000027.v2.vad,,,,,,
accent/indian,Q004,4,1,1,1,phonos_ind2ame,PHONOS converted: Indian to American,American,2,audio/Q004__phonos_ind2ame__src02.wav,Q004__phonos_ind2ame__src02.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_002906/00337661_000194.v2.vad.wav,phonos::ind2ame::SLT::00337661_000194.v2.vad,PHONOS,ind2ame,indian,american,S_002906,00337661_000194.v2.vad,SLT,full,north_american,north_american,1,4.895174
accent/indian,Q005,5,1,1,1,gt_indian,Original Indian samples,Indian,2,audio/Q005__gt_indian__src02.wav,Q005__gt_indian__src02.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_006835/wav/00195949_000080.v2.vad.wav,gt::indian::00195949_000080.v2.vad,original,reference,indian,indian,S_006835,00195949_000080.v2.vad,,,,,,
accent/indian,Q006,6,2,2,1,phonos_ame2ind,PHONOS converted: American to Indian,Indian,1,audio/Q006__phonos_ame2ind__src01.wav,Q006__phonos_ame2ind__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/2086/2086-149220-0039.wav,phonos::ame2ind::rajasthanimale::2086-149220-0039,PHONOS,ame2ind,american,indian,2086,2086-149220-0039,rajasthanimale,full,south_asian,south_asian,1,4.598024
accent/indian,Q007,7,2,2,1,phonos_ame2ind,PHONOS converted: American to Indian,Indian,2,audio/Q007__phonos_ame2ind__src02.wav,Q007__phonos_ame2ind__src02.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/2094/2094-142345-0046.wav,phonos::ame2ind::rajasthanimale::2094-142345-0046,PHONOS,ame2ind,american,indian,2094,2094-142345-0046,rajasthanimale,full,south_asian,south_asian,1,4.616086
accent/indian,Q008,8,2,2,1,phonos_ame2ind,PHONOS converted: American to Indian,Indian,3,audio/Q008__phonos_ame2ind__src03.wav,Q008__phonos_ame2ind__src03.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/5895/5895-34629-0011.wav,phonos::ame2ind::rajasthanimale::5895-34629-0011,PHONOS,ame2ind,american,indian,5895,5895-34629-0011,rajasthanimale,full,south_asian,south_asian,1,4.574396
accent/indian,Q009,9,2,2,1,gt_indian,Original Indian samples,Indian,3,audio/Q009__gt_indian__src03.wav,Q009__gt_indian__src03.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_006458/wav/00033824_000015.v2.vad.wav,gt::indian::00033824_000015.v2.vad,original,reference,indian,indian,S_006458,00033824_000015.v2.vad,,,,,,
accent/indian,Q010,10,2,2,1,gt_indian,Original Indian samples,Indian,4,audio/Q010__gt_indian__src04.wav,Q010__gt_indian__src04.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_012502/wav/00511009_000132.v2.vad.wav,gt::indian::00511009_000132.v2.vad,original,reference,indian,indian,S_012502,00511009_000132.v2.vad,,,,,,
