method,condition_label,direction,direction_display,source_accent,target_accent,source_id,source_path,target_path,target_ref_id,synthesis_path,expected_role,target_reference_was_conditioning,nisqa_mos,speaker_similarity,source_duration_sec,target_duration_sec,synthesis_duration_sec,selection_policy,source_item_id,quality_percentile,similarity_percentile,joint_rank,qid,display_index,page,cooldown_block,audio_a,audio_b,audio_x,audio,reference_a_role,reference_b_role,expected_choice,expected_accent
phonos,PHONOS,ame2ind,American to Indian,american,indian,AME021,/data/waris/code/PHONOSv2/evaluation/final/american/3170/wav/3170-137482-0025.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,rajasthanimale,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME021/r6_epoch05/rajasthanimale.wav,target,True,4.510004,0.8987035751342773,7.445,4.5995,7.46,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ame2ind::AME021::r6_epoch05::rajasthanimale,1.0,0.4166666666666667,0.4166666666666667,Q001,1,1,1,audio/Q001_A.wav,audio/Q001_B.wav,audio/Q001_X.wav,audio/Q001_X.wav,source,target,B,B
phonos,PHONOS,ame2spn,American to Spanish,american,spanish,AME026,/data/waris/code/PHONOSv2/evaluation/final/american/2428/wav/2428-83699-0007.wav,/data/waris/code/PHONOSv2/evaluation/speakers/spn/EBVS.wav,EBVS,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2spn/AME026/r6_epoch05/EBVS.wav,target,True,4.08402,0.9006112813949585,5.71,3.9139375,5.72,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ame2spn::AME026::r6_epoch05::EBVS,0.5,1.0,0.5,Q002,2,1,1,audio/Q002_A.wav,audio/Q002_B.wav,audio/Q002_X.wav,audio/Q002_X.wav,target,source,A,A
tvtsyn,TVTSyn,spn2ame,SPE->GAE,spanish,american,EN_Y0OgjoJKj0M_W000021_0000,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_Y0OgjoJKj0M_SPEAKER_05/wav/EN_Y0OgjoJKj0M_W000021_0000.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/spn2ame/RMS/EN_Y0OgjoJKj0M_SPEAKER_05/EN_Y0OgjoJKj0M_W000021_0000.wav,target,True,3.6454544,0.8483227491378784,4.16,3.005,4.16,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::spn2ame::RMS::EN_Y0OgjoJKj0M_SPEAKER_05::EN_Y0OgjoJKj0M_W000021_0000,,,,Q003,3,1,1,audio/Q003_A.wav,audio/Q003_B.wav,audio/Q003_X.wav,audio/Q003_X.wav,target,source,A,A
phonos,PHONOS,ame2ind,American to Indian,american,indian,AME018,/data/waris/code/PHONOSv2/evaluation/final/american/7976/wav/7976-105575-0022.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,rajasthanimale,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME018/r3_epoch06/rajasthanimale.wav,target,True,4.19726,0.8987314701080322,5.38,4.5995,5.38,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ame2ind::AME018::r3_epoch06::rajasthanimale,0.6666666666666666,0.5,0.5,Q004,4,1,1,audio/Q004_A.wav,audio/Q004_B.wav,audio/Q004_X.wav,audio/Q004_X.wav,target,source,A,A
phonos,PHONOS,ame2bri,American to British,american,british,AME012,/data/waris/code/PHONOSv2/evaluation/final/american/1089/wav/1089-134686-0025.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME012/r1_epoch13/slr83_southern_male_som_08784.wav,target,True,4.673462,0.9134140014648438,6.61,12.970666666666666,6.62,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ame2bri::AME012::r1_epoch13::slr83_southern_male_som_08784,1.0,1.0,1.0,Q005,5,1,1,audio/Q005_A.wav,audio/Q005_B.wav,audio/Q005_X.wav,audio/Q005_X.wav,source,target,B,B
seedvc,SeedVC,spn2ame,SPE->GAE,spanish,american,EN_8oMYmbRdCog_W000001_0001,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_8oMYmbRdCog_SPEAKER_00/wav/EN_8oMYmbRdCog_W000001_0001.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/CLB.wav,CLB,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/spn2ame/CLB/EN_8oMYmbRdCog_SPEAKER_00/EN_8oMYmbRdCog_W000001_0001.wav,target,True,4.5707703,0.8281233310699463,4.6,3.685,4.527891156462585,random after 4-8 second source/X filtering,seedvc::spn2ame::CLB::EN_8oMYmbRdCog_W000001_0001,,,,Q006,6,2,1,audio/Q006_A.wav,audio/Q006_B.wav,audio/Q006_X.wav,audio/Q006_X.wav,source,target,B,B
phonos,PHONOS,ind2ame,Indian to American,indian,american,INE022,/data/waris/code/PHONOSv2/evaluation/final/indian/S_006458/wav/00033847_000018.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ind2ame/INE022/r3_epoch06/SLT.wav,target,True,4.6591578,0.8900505900382996,5.0840625,3.355,5.1,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ind2ame::INE022::r3_epoch06::SLT,0.5714285714285714,0.7142857142857143,0.5714285714285714,Q007,7,2,1,audio/Q007_A.wav,audio/Q007_B.wav,audio/Q007_X.wav,audio/Q007_X.wav,target,source,A,A
tvtsyn,TVTSyn,ame2spn,GAE->SPE,american,spanish,2035-147960-0011,/data/waris/code/PHONOSv2/evaluation/final/american/2035/wav/2035-147960-0011.wav,/data/waris/code/PHONOSv2/evaluation/speakers/spn/MBMPS.wav,MBMPS,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2spn/MBMPS/2035/2035-147960-0011.wav,target,True,3.571802,0.8034725189208984,4.38,4.2313125,4.38,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2spn::MBMPS::2035::2035-147960-0011,,,,Q008,8,2,1,audio/Q008_A.wav,audio/Q008_B.wav,audio/Q008_X.wav,audio/Q008_X.wav,target,source,A,A
phonos,PHONOS,bri2ame,British to American,british,american,BRE022,/data/waris/code/PHONOSv2/evaluation/final/british/f_09334/wav/sof_09334_00363794380.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/CLB.wav,CLB,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/bri2ame/BRE022/r3_epoch06/CLB.wav,target,True,4.3256264,0.8963028192520142,5.205375,3.685,5.22,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,bri2ame::BRE022::r3_epoch06::CLB,0.5,1.0,0.5,Q009,9,2,1,audio/Q009_A.wav,audio/Q009_B.wav,audio/Q009_X.wav,audio/Q009_X.wav,source,target,B,B
phonos,PHONOS,ind2ame,Indian to American,indian,american,INE034,/data/waris/code/PHONOSv2/evaluation/final/indian/S_014045/wav/00378145_000027.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ind2ame/INE034/r3_epoch06/SLT.wav,target,True,4.707917,0.8888510465621948,5.7560625,3.355,5.76,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ind2ame::INE034::r3_epoch06::SLT,0.7857142857142857,0.6428571428571429,0.6428571428571429,Q010,10,2,1,audio/Q010_A.wav,audio/Q010_B.wav,audio/Q010_X.wav,audio/Q010_X.wav,target,source,A,A
